Unnamed: 0,userid,category,avg_bill,join_datetime,age,income,kids,teenagers,marital,education,complain_count,last_order_dt,discount_purchases_count_avg,catalogue_purchases_count_avg,store_purchases_count_avg,website_purchases_count_avg,website_visit_count_avg,mobile_purchases_count_avg,mobile_visit_count_avg,marketing_company_outcome_1,marketing_company_outcome_2,marketing_company_outcome_3,marketing_company_outcome_4,marketing_company_outcome_5
0,2c6336a2-852b-48af-9150-9b9030387f5d,fish,432.0,2024-02-14 10:03:56,49,71463.0,1,1,married,phd,2,2024-06-06,7,1,6,3,6,7,12,0,0,0,0,0
1,2c6336a2-852b-48af-9150-9b9030387f5d,sweets,55.0,2024-02-14 10:03:56,49,71463.0,1,1,married,phd,2,2024-06-06,7,1,6,3,6,7,12,0,0,0,0,0
2,2c6336a2-852b-48af-9150-9b9030387f5d,vegetables,294.0,2024-02-14 10:03:56,49,71463.0,1,1,married,phd,2,2024-06-06,7,1,6,3,6,7,12,0,0,0,0,0
3,2c6336a2-852b-48af-9150-9b9030387f5d,meat,360.0,2024-02-14 10:03:56,49,71463.0,1,1,married,phd,2,2024-06-06,7,1,6,3,6,7,12,0,0,0,0,0
4,2c6336a2-852b-48af-9150-9b9030387f5d,other,275.0,2024-02-14 10:03:56,49,71463.0,1,1,married,phd,2,2024-06-06,7,1,6,3,6,7,12,0,0,0,0,0
6,2c6336a2-852b-48af-9150-9b9030387f5d,fruits,30.0,2024-02-14 10:03:56,49,71463.0,1,1,married,phd,2,2024-06-06,7,1,6,3,6,7,12,0,0,0,0,0
7,1085e67c-3c4e-4903-b3e9-16631132c655,other,620.0,2023-06-04 20:12:04,57,95365.0,0,1,divorced,bachelor,2,2024-06-25,2,9,4,8,6,6,11,0,0,0,0,0
8,1085e67c-3c4e-4903-b3e9-16631132c655,fish,540.0,2023-06-04 20:12:04,57,95365.0,0,1,divorced,bachelor,2,2024-06-25,2,9,4,8,6,6,11,0,0,0,0,0
9,1085e67c-3c4e-4903-b3e9-16631132c655,sweets,207.0,2023-06-04 20:12:04,57,95365.0,0,1,divorced,bachelor,2,2024-06-25,2,9,4,8,6,6,11,0,0,0,0,0
10,1085e67c-3c4e-4903-b3e9-16631132c655,vegetables,1293.0,2023-06-04 20:12:04,57,95365.0,0,1,divorced,bachelor,2,2024-06-25,2,9,4,8,6,6,11,0,0,0,0,0
11,1085e67c-3c4e-4903-b3e9-16631132c655,meat,369.0,2023-06-04 20:12:04,57,95365.0,0,1,divorced,bachelor,2,2024-06-25,2,9,4,8,6,6,11,0,0,0,0,0
12,1085e67c-3c4e-4903-b3e9-16631132c655,fruits,345.0,2023-06-04 20:12:04,57,95365.0,0,1,divorced,bachelor,2,2024-06-25,2,9,4,8,6,6,11,0,0,0,0,0
14,99792dfd-8c62-4903-92b2-a83dfd392cb1,sweets,233.0,2023-12-17 19:01:53,50,114900.0,0,0,dating,phd,0,2024-05-31,1,2,13,3,1,19,34,0,0,0,0,0
15,99792dfd-8c62-4903-92b2-a83dfd392cb1,vegetables,884.0,2023-12-17 19:01:53,50,114900.0,0,0,dating,phd,0,2024-05-31,1,2,13,3,1,19,34,0,0,0,0,0
17,99792dfd-8c62-4903-92b2-a83dfd392cb1,fish,2217.0,2023-12-17 19:01:53,50,114900.0,0,0,dating,phd,0,2024-05-31,1,2,13,3,1,19,34,0,0,0,0,0
19,99792dfd-8c62-4903-92b2-a83dfd392cb1,other,1760.0,2023-12-17 19:01:53,50,114900.0,0,0,dating,phd,0,2024-05-31,1,2,13,3,1,19,34,0,0,0,0,0
20,99792dfd-8c62-4903-92b2-a83dfd392cb1,fruits,825.0,2023-12-17 19:01:53,50,114900.0,0,0,dating,phd,0,2024-05-31,1,2,13,3,1,19,34,0,0,0,0,0
21,ad50b3da-da8d-4b35-92c3-79cf83c2250a,fish,594.0,2022-06-08 11:23:52,64,76078.0,1,1,dating,,0,2024-06-04,4,1,4,3,6,9,16,0,0,0,0,0
22,ad50b3da-da8d-4b35-92c3-79cf83c2250a,fruits,150.0,2022-06-08 11:23:52,64,76078.0,1,1,dating,,0,2024-06-04,4,1,4,3,6,9,16,0,0,0,0,0
